Run,Starting value,Bounding phase result,Secant method result
1,3.00055,"[0.460554, 3.02055]",0.52706
2,3.6867,"[1.1467, -1.4133]",0.527054
3,-0.0431851,"[0.576815, -0.0631851]",0.52706
4,4.55029,"[-0.549709, 4.57029]",0.527099
5,-4.13212,"[0.967882, -4.15212]",0.527054
6,1.38724,"[0.767237, 0.127237]",0.52706
7,-2.24209,"[0.297914, 2.85791]",0.527061
8,3.31136,"[0.771356, -1.78864]",0.527059
9,1.27814,"[0.658144, 0.0181436]",0.52706
10,1.67081,"[0.410811, 1.69081]",0.52706
