Run,Starting value,Bounding phase result,Secant method result
1,2.9232,"[2.3032, 1.6632]",2.02876
2,2.42091,"[2.12091, 1.80091]",2.02876
3,1.32068,"[1.94068, 2.58068]",2.02875
4,1.20642,"[1.82642, 2.46642]",2.02876
5,0.980227,"[2.24023, 0.960227]",2.02875
6,0.882627,"[2.14263, 0.862627]",2.02876
7,3.06551,"[1.80551, 3.08551]",2.02875
8,2.72462,"[2.10462, 1.46462]",2.02876
9,1.2905,"[1.9105, 2.5505]",2.02876
10,2.73846,"[2.11846, 1.47846]",2.02876
