Run,Starting value,Bounding phase result,Secant method result
1,0.303083,"[1.56308, 2.84308]",1.59072
2,1.48848,"[1.62848, 1.46848]",1.59072
3,1.93436,"[1.63436, 1.31436]",1.59072
4,1.75763,"[1.61763, 1.45763]",1.59072
5,2.30676,"[1.68676, 1.04676]",1.59072
6,2.27176,"[1.65176, 1.01176]",1.59072
7,-1.25123,"[1.28877, 3]",1.59071
8,2.20207,"[1.58207, 2.22207]",1.59071
9,-1.63336,"[0.90664, 3]",1.59071
10,2.58217,"[1.32217, 2.60217]",1.59071
