Run,Starting value,Bounding phase result,Secant method result
1,0.90752,"[0.60752, 0.28752]",0.563569
2,2.99661,"[0.456612, 3.01661]",0.563569
3,3.67724,"[1.13724, -1.42276]",0.563569
4,-1.13372,"[0.126279, 1.40628]",0.563569
5,2.54538,"[0.00538021, 2.56538]",0.563569
6,3.97055,"[1.43055, -1.12945]",0.563569
7,2.31539,"[1.05539, -0.224614]",0.563569
8,-1.38793,"[1.15207, -1.40793]",0.563569
9,-0.8569,"[0.4031, 1.6831]",0.563569
10,-3.02056,"[-0.480556, 2.07944]",0.563569
