Run,Starting value,Bounding phase result,Secant method result
1,-6.71513,"[-5.45513, -6.73513]",-5.77507
2,-9.78514,"[-4.68514, -9.80514]",-5.77507
3,-7.23708,"[-5.97708, -4.69708]",-5.77507
4,-8.6895,"[-6.1495, -3.5895]",-5.77507
5,-8.57103,"[-6.03103, -3.47103]",-5.77507
6,-2.66238,"[-5.20238, -7.76238]",-5.77507
7,-9.33161,"[-4.23161, -9.35161]",-5.77507
8,-9.23069,"[-6.69069, -4.13069]",-5.77507
9,-5.12918,"[-5.74918, -6.38918]",-5.77507
10,-8.94316,"[-6.40316, -3.84316]",-5.77507
